question_id,citations,error
w3-001,"[""ll_8e9ffdc059fd1d20863063a1286b04c9""]",
w3-002,"[""ll_d680d87873a4f0969687d14382085d4b""]",
w3-003,"[""ll_39e732b702073e31deaa82feb0118b93""]",
w3-004,"[""ll_daeae2b3eca7e0764852c2b1e23576e5""]",
w3-005,"[""ll_c167da600e26a28844d8a3c76282d69e""]",
w3-006,"[""ll_2ad432c5bbe2807a0c7a25acf092068b""]",
w3-007,"[""ll_5e328c971ddca6021edd874c27b889cd""]",
w3-008,"[""ll_d28da59cc8971d0b1dabe492062dab99""]",
w3-009,"[""ll_1199cdf97334037b184baeda5bf1b646""]",
w3-010,"[""ll_ef77b75ca6d385b4f3d7a631da24ef4c""]",
w3-011,"[""ll_99b2729bba06f3817dff681beed85d95""]",
w3-012,"[""ll_d1fe1e9514d99c2339c904291cd5079f"", ""ll_615a862c11b45874171711f5ab4a107a""]",
w3-013,"[""ll_490b2d4818f19886e8058c3f7498d877"", ""ll_0834cc5f99a888b1f9d1523f87b9e227""]",
w3-014,"[""ll_d28da59cc8971d0b1dabe492062dab99""]",
w3-015,"[""ll_a40ba37473b834faa4c7c0a23269c4d7""]",
w3-016,"[""ll_795d914c6a1937245fdbf4302d1a40bb"", ""ll_1132410e9dd1c1f92ace3aaf76ae6278""]",
w3-017,[],RateLimitError
w3-018,[],RateLimitError
w3-019,[],RateLimitError
w3-020,[],RateLimitError
w3-021,[],RateLimitError
w3-022,[],RateLimitError
w3-023,[],RateLimitError
w3-024,[],RateLimitError
w3-025,[],RateLimitError
w3-026,[],RateLimitError
w3-027,[],RateLimitError
w3-028,[],RateLimitError
w3-029,[],RateLimitError
w3-030,[],RateLimitError
w3-031,[],RateLimitError
w3-032,[],RateLimitError
w3-033,[],RateLimitError
w3-034,[],RateLimitError
w3-035,[],RateLimitError
w3-036,"[""ll_6da0c795d969eea71e10ec21ae716501""]",
w3-037,"[""ll_eedbc850d166bd443903fafcf9aefb60""]",
w3-038,"[""ll_583ad6cd6ad14839eeb30718780ab860"", ""ll_24e904d466bdcf271fa00a047e279d16"", ""ll_5f611e2223dfc4ac712eda13ef3d7181"", ""ll_64eb266fcae24ab204722e93a5b03817""]",
w3-039,"[""ll_890db25ee9854dcdf4eaca66c3b2880d""]",
w3-040,"[""ll_1199cdf97334037b184baeda5bf1b646"", ""ll_8cad4f4c6cfc174ae00e954b4f9795a3""]",
w3-051,[],
w3-052,[],
w3-053,[],
w3-054,[],
w3-055,[],
w3-056,[],
w3-057,[],
w3-058,[],
w3-059,[],
w3-060,[],
