block_index	block_type	style	alignment	text
0	paragraph	Normal	CENTER (1)	CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
1	paragraph	Normal	CENTER (1)	Độc lập - Tự do - Hạnh phúc
2	paragraph	Normal	JUSTIFY (3)	
3	paragraph	Normal	CENTER (1)	BỘ LUẬT
4	paragraph	Normal	CENTER (1)	LAO ĐỘNG
5	paragraph	Normal	JUSTIFY (3)	
6	paragraph	Normal	JUSTIFY (3)	Bộ luật Lao động số 45/2019/QH14 ngày 20 tháng 11 năm 2019 của Quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi:
7	paragraph	Normal	JUSTIFY (3)	1. Luật Công nghiệp công nghệ số số 71/2025/QH15 ngày 14 tháng 6 năm 2025 của Quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2026;
8	paragraph	Normal	JUSTIFY (3)	2. Luật Dân số số 113/2025/QH15 ngày 10 tháng 12 năm 2025 của Quốc hội, có hiệu lực kể từ ngày 01 tháng 7 năm 2026;
9	paragraph	Normal	JUSTIFY (3)	3. Luật Giáo dục nghề nghiệp số 124/2025/QH15 ngày 10 tháng 12 năm 2025 của Quốc hội, có hiệu lực kể từ ngày 01 tháng 01 năm 2026.
10	paragraph	Normal	JUSTIFY (3)	
11	paragraph	Normal	JUSTIFY (3)	Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam;
12	paragraph	Normal	JUSTIFY (3)	Quốc hội ban hành Bộ luật Lao động.
13	paragraph	Normal	JUSTIFY (3)	
14	paragraph	Normal	CENTER (1)	Chương I
15	paragraph	Normal	CENTER (1)	NHỮNG QUY ĐỊNH CHUNG
16	paragraph	Normal	JUSTIFY (3)	Điều 1. Phạm vi điều chỉnh
17	paragraph	Normal	JUSTIFY (3)	Bộ luật Lao động quy định tiêu chuẩn lao động; quyền, nghĩa vụ, trách nhiệm của người lao động, người sử dụng lao động, tổ chức đại diện người lao động tại cơ sở, tổ chức đại diện người sử dụng lao động trong quan hệ lao động và các quan hệ khác liên quan trực tiếp đến quan hệ lao động; quản lý nhà nước về lao động. 
