question_id,chunk_ids,latency_ms,error
w3-001,"[""ll_d7bfa2286e7367988429d05513c47b0e"", ""ll_8e9ffdc059fd1d20863063a1286b04c9"", ""ll_ad980a9921cbe1f53a134b328a022bf5"", ""ll_61db081b0d1ee0ca2282509411fb0141"", ""ll_78d9cb91d9624a2fbf25a933ad4232b6"", ""ll_4380f1f37f0de74975dbff9172ec7fed"", ""ll_8702d8d808dc199af50bacd4610bc3b5"", ""ll_3cc7213f84cd5173848aacb1aeac7894"", ""ll_38d57834b19e5e40f7722772826c883d"", ""ll_db36995f206fdb025dd84afd1fa0c9e5""]",239.3638999928953,
w3-002,"[""ll_d680d87873a4f0969687d14382085d4b"", ""ll_7dab4c7d1114be2423597fcae7d07bac"", ""ll_99b2729bba06f3817dff681beed85d95"", ""ll_a40ba37473b834faa4c7c0a23269c4d7"", ""ll_8f5f338f744473764610612aa016daf6"", ""ll_7851466a651c0fd63fa9a69aebe6dec3"", ""ll_c44b89dc26834b02774e85aff4733cf1"", ""ll_14ceb517d7068dfe9fbb946591df214f"", ""ll_908006b059cbf6422269d281c9a426ad"", ""ll_61db081b0d1ee0ca2282509411fb0141""]",222.55150000273716,
w3-003,"[""ll_39e732b702073e31deaa82feb0118b93"", ""ll_66b55d7e24a3b3e6e8b089834088d323"", ""ll_1962b1e89779e81c228878a602e3e08b"", ""ll_2fd294314d089a0f7f2f2a62a33cce92"", ""ll_16f2d3329e3e980af9b6f31914c461db"", ""ll_bc1cf956beab31a9ca06c6e807f961fd"", ""ll_fd0a4b9a069d11471c952116ac69451c"", ""ll_a555c2394b49a07b465bacbc785c6be0"", ""ll_c44b89dc26834b02774e85aff4733cf1"", ""ll_3d6b7a269fed9eab22f71d821a93136a""]",228.26899999927264,
w3-004,"[""ll_daeae2b3eca7e0764852c2b1e23576e5"", ""ll_d90855f7ab52790bd03d642e640667f2"", ""ll_08d34e1751441cce6005d61bc3cfba20"", ""ll_162e9a4d4fdb22ccd467c50faf525bc0"", ""ll_d680d87873a4f0969687d14382085d4b"", ""ll_858c6b72514f4aa156688dc27e0076ae"", ""ll_d06a360a14402d8d38cc3d719e973f9c"", ""ll_e160b63781284e20e8dee8ebdda90fec"", ""ll_15a24f4e759d20f02d5f3a0f84cbc0f7"", ""ll_efe8fa66fa445bd19cd1266064093c3d""]",230.2330999955302,
w3-005,"[""ll_c167da600e26a28844d8a3c76282d69e"", ""ll_db87f73442bb443c09eb0135eaacb6f5"", ""ll_2ce54ddd8dd16d8655cac8ff5fbe763b"", ""ll_a2773b5839f184b66ae2eae3961b75a1"", ""ll_69f01b42892bae3b46881f5a9605e9c2"", ""ll_6eb57e0e045117deec8490756f76578f"", ""ll_21f958d946575540709ee4af5f88457f"", ""ll_224ff35856c20e2a86be3bc2580c3491"", ""ll_44e9d3dfb66ec72f59e6c8ffe7e5b985"", ""ll_a7ed2289415bc3f3b2cf3e5b4afcbbd6""]",234.52549999637995,
w3-006,"[""ll_2ad432c5bbe2807a0c7a25acf092068b"", ""ll_f4655fc9a30270c41552687ffae05183"", ""ll_6eb57e0e045117deec8490756f76578f"", ""ll_2b2bd839ac56a677e8cdd8577d91ffe2"", ""ll_1e0969569562e6489aa34167d349bda1"", ""ll_6bd1e57d8fd1a21bdc64671e051399f4"", ""ll_a7ed2289415bc3f3b2cf3e5b4afcbbd6"", ""ll_224ff35856c20e2a86be3bc2580c3491"", ""ll_44e9d3dfb66ec72f59e6c8ffe7e5b985"", ""ll_21f958d946575540709ee4af5f88457f""]",247.18030000803992,
w3-007,"[""ll_5e328c971ddca6021edd874c27b889cd"", ""ll_6dae2e2479b54db3515671c599398081"", ""ll_03f47d6483b757dc6c4afb17ba420364"", ""ll_d2c1ebbda5fe10338e6a7e906891a94c"", ""ll_3c1f3fbdd5d55bc9eed53940b2dee224"", ""ll_841140438496ae53c44d57f327ada7fa"", ""ll_468de004e644e6311bee807a7ed7cf51"", ""ll_7e97a732f4fd816601c8117fbda9459b"", ""ll_72b73fd9ca58ebaafbee2d223a7f5875"", ""ll_2b3bba91b4c4a9ce4d2b537ae3c939c1""]",214.60219999426045,
w3-008,"[""ll_d28da59cc8971d0b1dabe492062dab99"", ""ll_0d5fe343fb5f1ed03285e229857262fd"", ""ll_f4337d4b25d60f0c84c77d480d8749ef"", ""ll_c525f72b3357073ec36c2e426e963958"", ""ll_1be18ce3acf6fc6c6f2d3b3e3fbc0b60"", ""ll_734c02a52d8ded4e9df460a8c3b80ebb"", ""ll_573d003e9ff3432a71ad27f4033a0237"", ""ll_85c91f8360c6b8d3fefcc386cfb13eb5"", ""ll_3496d03c125f3647e4b59d17ba1517aa"", ""ll_b37087af9b92b0cf5433d724a2f5a20a""]",231.46830000041518,
w3-009,"[""ll_1199cdf97334037b184baeda5bf1b646"", ""ll_58b7dfddf9d10dd216e7e56a9b94665b"", ""ll_e6cf85494c7d7983c4772842965ab114"", ""ll_175c1f555aa2add5bd99608d0fe59945"", ""ll_b269f9ee3f3fa848dcbf4e0267701fec"", ""ll_908006b059cbf6422269d281c9a426ad"", ""ll_a78dd14cc5e598d481ce8fa21cb96742"", ""ll_e5b17107dac59b19f4dc7bc77998e4aa"", ""ll_85c91f8360c6b8d3fefcc386cfb13eb5"", ""ll_ac3443e401d1e610baca5259d4db6fcd""]",231.03979999723379,
w3-010,"[""ll_85c91f8360c6b8d3fefcc386cfb13eb5"", ""ll_1b0e30c814d27ca23a2d58de9fae81a2"", ""ll_610e9077fc973dabc980978eb3f3da54"", ""ll_b269f9ee3f3fa848dcbf4e0267701fec"", ""ll_ef77b75ca6d385b4f3d7a631da24ef4c"", ""ll_faa9a425bad6bbb962c7ab81f0be89b5"", ""ll_0cf9fb199154a4f067a172c925264352"", ""ll_80afbe1ab06a910fe90170161fb8dea3"", ""ll_39892c057c7219f70393aea669dde91a"", ""ll_e89709cce28256b7a351f44beac8d48b""]",233.802899994771,
w3-011,"[""ll_99b2729bba06f3817dff681beed85d95"", ""ll_22d23ecc658c65b490810a470a55bf79"", ""ll_7851466a651c0fd63fa9a69aebe6dec3"", ""ll_0fa94813b6249408fee46bbbe9ab376b"", ""ll_825cbea9ca1086ff412994817a48a0fe"", ""ll_03d8173fe86340d2caef56f7b4b9c6a1"", ""ll_88c589492998eeb41b750b8942e113e0"", ""ll_d7aefb92b4b4788591e0afee68f4ddf8"", ""ll_70f2ce66c2e0fc2d2c816f809bd578ac"", ""ll_106026c2a40aa71a6681580a66a6fcc3""]",221.0510000004433,
w3-012,"[""ll_d1fe1e9514d99c2339c904291cd5079f"", ""ll_615a862c11b45874171711f5ab4a107a"", ""ll_0834cc5f99a888b1f9d1523f87b9e227"", ""ll_fb574d08da30f463ace40b2d08efaa1e"", ""ll_583ad6cd6ad14839eeb30718780ab860"", ""ll_c034910e708566df45f56b22fd2f9ffc"", ""ll_4ffbe03aaab7819030b7ac4826f779ce"", ""ll_490b2d4818f19886e8058c3f7498d877"", ""ll_24e904d466bdcf271fa00a047e279d16"", ""ll_91a9b871670bf585833bc7dcf579b896""]",234.93580000649672,
w3-013,"[""ll_490b2d4818f19886e8058c3f7498d877"", ""ll_0834cc5f99a888b1f9d1523f87b9e227"", ""ll_fb574d08da30f463ace40b2d08efaa1e"", ""ll_c034910e708566df45f56b22fd2f9ffc"", ""ll_f4733a905b4ab7f7cbf5366d56161d3b"", ""ll_0fa94813b6249408fee46bbbe9ab376b"", ""ll_d1fe1e9514d99c2339c904291cd5079f"", ""ll_615a862c11b45874171711f5ab4a107a"", ""ll_813322864fda8e33463a84df154d530e"", ""ll_91a9b871670bf585833bc7dcf579b896""]",236.37159999634605,
